timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772396112926,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396112924,99,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,99,0,0
1772396112924,99,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,99,0,0
1772396113024,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113024,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113024,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113126,99,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,99,0,0
1772396113126,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113126,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113226,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396113226,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113226,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113324,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113326,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396113326,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396113425,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396113425,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113425,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113526,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396113523,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113526,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396113625,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113625,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113625,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113727,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396113727,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
1772396113727,102,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,102,0,0
1772396113828,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396113829,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396113829,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396113923,101,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,101,0,0
